Title;First Name;Middle Name;Last Name;Mobile Phone;E-mail Address
Sig;Andrea;;Selis;3286945789;andrea.selis@studente.com
Sig.ra;Katsiaryna;;Belenkaya;3218745956;katsiaryna.belenkaya@studente.com
Sig.ra;Laurette;;Bessi;3684532698;laurette.bessi@studente.com
Sig.ra;Bianca;;Balasca;3315247695;bianca.balasca@studente.com
Sig.ra;Filomena;;Biancofiore;3894545896;filomena.biancofiore@studente.com
Sig.ra;Federica;;Branca;3596425789;federica.branca@studente.com
Sig;Riccardo;;Buldini;3392626855;riccardo.buldini@studente.com
Sig.ra;Sandy;;Camargo;3482535623;sandy.camargo@studente.com
Sig;Paolo;;Cancemi;3452860493;paolo.cancemi@studente.com
Sig.ra;Emanuela;;Cannarella Bogdanova;3518676927;emanuela.cannarellabogdanova@studente.com
Sig.ra;Chiara;;Caruso;3654289568;chiara.caruso@studente.com
Sig;Mario;;Cautiero;3124578953;mario.cautiero@studente.com
Sig.ra;Sarah;;Cottone;3625896325;sarah.cottone@studente.com
Sig;Raffaele;;De Stefano;3786936123;raffaele.destefano@studente.com
Sig;Federico;;Arigo;3458956231;federico.arigo@studente.com
Sig;Raffaele;Alessandro;Fruncillo;3789516237;raffaelealessandro@studente.com
Sig;Mario;;Furci;3652678459;mario.furci@studente.com
Sig;Massimo;Thomas;Gaydou;3568978451;massimothomas.gaydou@studente.com
Sig;Hamza;;Mahmoudi;3957896325;hamza.mahmoudi@studente.com
Sig.ra;Isabel;;Munaylla;3216598327;isabel.munaylla@studente.com
Sig.ra;Naira;;Koehler Cammarata;3658978456;naira.koehlercammarata@studente.com
Sig;Leandros;;Kouros;3658945237;leandros.kouros@studente.com
Sig.ra;Ambra;;La Ventura;3589764318;ambra.laventura@studente.com
Sig.ra;Camilla;;Leone;3567895412;camilla.leone@studente.com
Sig.ra;Sofia;;Liossis;3687895624;sofia.liossis@studente.com
Sig;Luca;;Silvi;3257896451;luca.silvi@studente.com
Sig.ra;Deborah;;Manis;3257895452;deborah.manis@studente.com
Sig;Marco;;Tripodi;3689545235;marco.tripodi@studente.com
Sig.ra;Martina;;Albano;3786532951;martina.albano@studente.com
Sig.ra;Claudia;;Mininni;3789568357;claudia.mininni@studente.com
Sig.ra;Vidalle;;Newgep Tchonang;3197564982;vidalle.newgeptchonang@studente.com
Sig.ra;Pamela;;Venuti;3597865321;pamela.venuti@studente.com
Sig.ra;Miriam;;Passaro;3578945625;miriam.passaro@studente.com
Sig.ra;Vanessa;Megan;Perseu;3658945126;vanessamegan.perseu@studente.com
Sig;Gabriele;;Ricioppo;3568978451;gabriele.ricioppo@studente.com
Sig.ra;Sandra;;Painstil;3589784561;sandra.painstil@studente.com
Sig.ra;Roberta;;Savino;3894578451;roberta.savino@studente.com
Sig;Andrea;;Scudo;3314578129;andrea.scudo@studente.com
Sig;Luca;;Silva;3471245896;luca.silva@studente.com
Sig.ra;Margot;;Stefanetti;3267895432;margot.stefanetti@studente.com
Sig;Leandro;;Tarantino;3124565321;leandro.tarantino@studente.com
Sig;Carlo;;Testa;3884566237;carlo.testa@studente.com
Sig.ra;Michela;;Venier;3115789456;michela.venier@studente.com
Sig.ra;Vitaliia;;Stavytska;3659878452;vitaliia.stavytska@studente.com
Sig.ra;Camilla;;Vallaspra;3476812952;camilla.vallaspra@studente.com
